,libro,capitulo,verso,texto
37,Génesis,2,7,"7 Luego el Señor Dios formó al hombre del polvo de la tierra. Sopló aliento de vida en la nariz del hombre, y el hombre se convirtió en un ser viviente."
38,Génesis,2,8,"8 Después, el Señor Dios plantó un huerto en Edén, en el oriente, y allí puso al hombre que había formado."
39,Génesis,2,9,9 El Señor Dios hizo que crecieran del suelo toda clase de árboles: árboles hermosos y que daban frutos deliciosos. En medio del huerto puso el árbol de la vida y el árbol del conocimiento del bien y del mal.
40,Génesis,2,10,10 Un río salía de la tierra del Edén que regaba el huerto y después se dividía en cuatro ramales.
41,Génesis,2,11,"11 El primero, llamado Pisón, rodeaba toda la tierra de Havila, donde hay oro."
42,Génesis,2,12,12 El oro de esa tierra es excepcionalmente puro; también se encuentran allí resinas aromáticas y piedras de ónice.
43,Génesis,2,13,"13 El segundo, llamado Gihón, rodeaba toda la tierra de Cus."
44,Génesis,2,14,"14 El tercero, llamado Tigris, corría al oriente de la tierra de Asiria. El cuarto se llama Éufrates."
45,Génesis,2,15,15 El Señor Dios puso al hombre en el jardín de Edén para que se ocupara de él y lo custodiara;
46,Génesis,2,16,"16 pero el Señor Dios le advirtió: «Puedes comer libremente del fruto de cualquier árbol del huerto,"
47,Génesis,2,17,"17 excepto del árbol del conocimiento del bien y del mal. Si comes de su fruto, sin duda morirás»."
48,Génesis,2,18,"18 Después, el Señor Dios dijo: «No es bueno que el hombre esté solo. Haré una ayuda ideal para él»."
49,Génesis,2,19,"19 Entonces el Señor Dios formó de la tierra todos los animales salvajes y todas las aves del cielo. Los puso frente al hombre para ver cómo los llamaría, y el hombre escogió un nombre para cada uno de ellos."
50,Génesis,2,20,"20 Puso nombre a todos los animales domésticos, a todas las aves del cielo y a todos los animales salvajes; pero aún no había una ayuda ideal para él."
51,Génesis,2,21,"21 Entonces el Señor Dios hizo que el hombre cayera en un profundo sueño. Mientras el hombre dormía, el Señor Dios le sacó una de sus costillas y cerró la abertura."
52,Génesis,2,22,"22 Entonces el Señor Dios hizo de la costilla a una mujer, y la presentó al hombre."
53,Génesis,2,23,23 «¡Al fin! —exclamó el hombre—. ¡Esta es hueso de mis huesos y carne de mi carne! Ella será llamada “mujer” porque fue tomada del hombre».
54,Génesis,2,24,"24 Esto explica por qué el hombre deja a su padre y a su madre, y se une a su esposa, y los dos se convierten en uno solo."
55,Génesis,2,25,"25 Ahora bien, el hombre y su esposa estaban desnudos, pero no sentían vergüenza."
56,Génesis,3,1,1 El hombre y la mujer pecan La serpiente era el más astuto de todos los animales salvajes que el Señor Dios había hecho. Cierto día le preguntó a la mujer: —¿De veras Dios les dijo que no deben comer del fruto de ninguno de los árboles del huerto?
57,Génesis,3,2,2 —Claro que podemos comer del fruto de los árboles del huerto —contestó la mujer—.
58,Génesis,3,3,"3 Es solo del fruto del árbol que está en medio del huerto del que no se nos permite comer. Dios dijo: “No deben comerlo, ni siquiera tocarlo; si lo hacen, morirán”."
59,Génesis,3,4,4 —¡No morirán! —respondió la serpiente a la mujer—.
60,Génesis,3,5,"5 Dios sabe que, en cuanto coman del fruto, se les abrirán los ojos y serán como Dios, con el conocimiento del bien y del mal."
61,Génesis,3,6,"6 La mujer quedó convencida. Vio que el árbol era hermoso y su fruto parecía delicioso, y quiso la sabiduría que le daría. Así que tomó del fruto y lo comió. Después le dio un poco a su esposo que estaba con ella, y él también comió."
62,Génesis,3,7,"7 En ese momento, se les abrieron los ojos, y de pronto sintieron vergüenza por su desnudez. Entonces cosieron hojas de higuera para cubrirse."
63,Génesis,3,8,"8 Cuando soplaba la brisa fresca de la tarde, el hombre y su esposa oyeron al Señor Dios caminando por el huerto. Así que se escondieron del Señor Dios entre los árboles."
64,Génesis,3,9,9 Entonces el Señor Dios llamó al hombre: —¿Dónde estás?
65,Génesis,3,10,"10 El hombre contestó: —Te oí caminando por el huerto, así que me escondí. Tuve miedo porque estaba desnudo."
66,Génesis,3,11,11 —¿Quién te dijo que estabas desnudo? —le preguntó el Señor Dios—. ¿Acaso has comido del fruto del árbol que te ordené que no comieras?
67,Génesis,3,12,"12 El hombre contestó: —La mujer que tú me diste fue quien me dio del fruto, y yo lo comí."
68,Génesis,3,13,13 Entonces el Señor Dios le preguntó a la mujer: —¿Qué has hecho? —La serpiente me engañó —contestó ella—. Por eso comí.
69,Génesis,3,14,"14 Entonces el Señor Dios le dijo a la serpiente: «Por lo que has hecho, eres maldita más que todos los animales, tanto domésticos como salvajes. Andarás sobre tu vientre, arrastrándote por el polvo durante toda tu vida."
70,Génesis,3,15,"15 Y pondré hostilidad entre tú y la mujer, y entre tu descendencia y la descendencia de ella. Su descendiente te golpeará la cabeza, y tú le golpearás el talón»."
71,Génesis,3,16,"16 Luego le dijo a la mujer: «Haré más agudo el dolor de tu embarazo, y con dolor darás a luz. Y desearás controlar a tu marido, pero él gobernará sobre ti»."
72,Génesis,3,17,"17 Y al hombre le dijo: «Dado que hiciste caso a tu esposa y comiste del fruto del árbol del que te ordené que no comieras, la tierra es maldita por tu culpa. Toda tu vida lucharás para poder vivir de ella."
73,Génesis,3,18,"18 Te producirá espinos y cardos, aunque comerás de sus granos."
74,Génesis,3,19,"19 Con el sudor de tu frente obtendrás alimento para comer hasta que vuelvas a la tierra de la que fuiste formado. Pues fuiste hecho del polvo, y al polvo volverás»."
75,Génesis,3,20,"20 El paraíso perdido: el juicio de Dios Después, el hombre —Adán— le puso a su esposa el nombre Eva, porque ella sería la madre de todos los que viven."
76,Génesis,3,21,21 Y el Señor Dios hizo ropa de pieles de animales para Adán y su esposa.
77,Génesis,3,22,"22 Luego el Señor Dios dijo: «Miren, los seres humanos se han vuelto como nosotros, con conocimiento del bien y del mal. ¿Y qué ocurrirá si toman el fruto del árbol de la vida y lo comen? ¡Entonces vivirán para siempre!»."
78,Génesis,3,23,23 Así que el Señor Dios los expulsó del jardín de Edén y envió a Adán a cultivar la tierra de la cual él había sido formado.
79,Génesis,3,24,"24 Después de expulsarlos, el Señor Dios puso querubines poderosos al oriente del jardín de Edén; y colocó una espada de fuego ardiente —que destellaba al moverse de un lado a otro— a fin de custodiar el camino hacia el árbol de la vida."
80,Génesis,4,1,"1 Caín y Abel Ahora bien, Adán tuvo relaciones sexuales con su esposa, Eva, y ella quedó embarazada. Cuando dio a luz a Caín, dijo: «¡Con la ayuda del Señor , he tenido un varón!»."
81,Génesis,4,2,"2 Tiempo después, dio a luz al hermano de Caín y le puso por nombre Abel. Cuando crecieron, Abel se hizo pastor de ovejas, mientras que Caín se dedicó a cultivar la tierra."
82,Génesis,4,3,"3 Al llegar el tiempo de la cosecha, Caín presentó algunos de sus cultivos como ofrenda para el Señor ."
83,Génesis,4,4,"4 Abel también presentó una ofrenda: lo mejor de las primeras crías de los corderos de su rebaño. El Señor aceptó a Abel y a su ofrenda,"
84,Génesis,4,5,"5 pero no aceptó a Caín ni a su ofrenda. Esto hizo que Caín se enojara mucho, y se veía decaído."
85,Génesis,4,6,6 «¿Por qué estás tan enojado? —preguntó el Señor a Caín—. ¿Por qué te ves tan decaído?
86,Génesis,4,7,"7 Serás aceptado si haces lo correcto, pero si te niegas a hacer lo correcto, entonces, ¡ten cuidado! El pecado está a la puerta, al acecho y ansioso por controlarte; pero tú debes dominarlo y ser su amo»."
87,Génesis,4,8,"8 Cierto día Caín dijo a su hermano: «Salgamos al campo». Mientras estaban en el campo, Caín atacó a su hermano Abel y lo mató."
88,Génesis,4,9,9 Luego el Señor le preguntó a Caín: —¿Dónde está tu hermano? ¿Dónde está Abel? —No lo sé —contestó Caín—. ¿Acaso soy yo el guardián de mi hermano?
89,Génesis,4,10,10 Pero el Señor le dijo: —¿Qué has hecho? ¡Escucha! ¡La sangre de tu hermano clama a mí desde la tierra!
90,Génesis,4,11,11 Ahora eres maldito y serás expulsado de la tierra que se ha tragado la sangre de tu hermano.
91,Génesis,4,12,"12 La tierra ya no te dará buenas cosechas, ¡por mucho que la trabajes! De ahora en adelante, serás un vagabundo sin hogar sobre la tierra."
92,Génesis,4,13,13 Caín respondió al Señor : —¡Mi castigo es demasiado grande para soportarlo!
93,Génesis,4,14,14 Me has expulsado de la tierra y de tu presencia; me has hecho un vagabundo sin hogar. ¡Cualquiera que me encuentre me matará!
94,Génesis,4,15,"15 El Señor respondió: —No, porque yo castigaré siete veces a cualquiera que te mate. Entonces el Señor le puso una marca a Caín como advertencia para cualquiera que intentara matarlo."
95,Génesis,4,16,"16 Luego, Caín salió de la presencia del Señor y se estableció en la tierra de Nod, al oriente de Edén."
96,Génesis,4,17,"17 Descendientes de Caín Caín tuvo relaciones sexuales con su esposa, y ella quedó embarazada y dio a luz a Enoc. Luego Caín fundó una ciudad, que llevaba el nombre de su hijo Enoc."
97,Génesis,4,18,"18 Enoc tuvo un hijo llamado Irad, Irad fue el padre de Mehujael. Mehujael fue el padre de Metusael, Metusael fue el padre de Lamec."
98,Génesis,4,19,"19 Lamec se casó con dos mujeres. La primera se llamaba Ada y la segunda, Zila."
99,Génesis,4,20,"20 Ada dio a luz a Jabal, quien fue el primero de los que crían animales y viven en carpas."
100,Génesis,4,21,"21 El nombre de su hermano fue Jubal, el primero de todos los que tocan el arpa y la flauta."
101,Génesis,4,22,"22 La otra esposa de Lamec, Zila, dio a luz un hijo llamado Tubal-caín, el cual se hizo experto en forjar herramientas de bronce y de hierro. Tubal-caín tuvo una hermana llamada Naama."
102,Génesis,4,23,"23 Cierto día Lamec dijo a sus esposas: «Ada y Zila, oigan mi voz; escúchenme, esposas de Lamec. Maté a un hombre que me atacó, a un joven que me hirió."
103,Génesis,4,24,"24 Si se castiga siete veces a quien mate a Caín, ¡el que me mate a mí será castigado setenta y siete veces!»."
104,Génesis,4,25,"25 Nacimiento de Set Adán volvió a tener relaciones sexuales con su esposa, y ella dio a luz otro hijo, al cual llamó Set, porque dijo: «Dios me ha concedido otro hijo en lugar de Abel, a quien Caín mató»."
105,Génesis,4,26,"26 Cuando Set creció, tuvo un hijo y lo llamó Enós. Fue en aquel tiempo que la gente por primera vez comenzó a adorar al Señor usando su nombre."
106,Génesis,5,1,"1 Descendientes de Adán Este es el relato escrito de los descendientes de Adán. Cuando Dios creó a los seres humanos, los hizo para que fueran semejantes a él mismo."
107,Génesis,5,2,"2 Los creó hombre y mujer, y los bendijo y los llamó «humanos»."
108,Génesis,5,3,"3 Cuando Adán tenía ciento treinta años, fue padre de un hijo que era igual a él, su viva imagen, y lo llamó Set."
109,Génesis,5,4,"4 Después del nacimiento de Set, Adán vivió ochocientos años más y tuvo otros hijos e hijas."
110,Génesis,5,5,5 Adán vivió novecientos treinta años y después murió.
111,Génesis,5,6,"6 Cuando Set tenía ciento cinco años, fue padre de Enós."
112,Génesis,5,7,"7 Después del nacimiento de Enós, Set vivió ochocientos siete años más y tuvo otros hijos e hijas."
113,Génesis,5,8,8 Set vivió novecientos doce años y después murió.
114,Génesis,5,9,"9 Cuando Enós tenía noventa años, fue padre de Cainán."
115,Génesis,5,10,"10 Después del nacimiento de Cainán, Enós vivió ochocientos quince años más y tuvo otros hijos e hijas."
116,Génesis,5,11,11 Enós vivió novecientos cinco años y después murió.
117,Génesis,5,12,"12 Cuando Cainán tenía setenta años, fue padre de Mahalaleel."
118,Génesis,5,13,"13 Después del nacimiento de Mahalaleel, Cainán vivió ochocientos cuarenta años más y tuvo otros hijos e hijas."
119,Génesis,5,14,14 Cainán vivió novecientos diez años y después murió.
120,Génesis,5,15,"15 Cuando Mahalaleel tenía sesenta y cinco años, fue padre de Jared."
121,Génesis,5,16,"16 Después del nacimiento de Jared, Mahalaleel vivió ochocientos treinta años más y tuvo otros hijos e hijas."
122,Génesis,5,17,17 Mahalaleel vivió ochocientos noventa y cinco años y después murió.
123,Génesis,5,18,"18 Cuando Jared tenía ciento sesenta y dos años, fue padre de Enoc."
124,Génesis,5,19,"19 Después del nacimiento de Enoc, Jared vivió ochocientos años más y tuvo otros hijos e hijas."
125,Génesis,5,20,20 Jared vivió novecientos sesenta y dos años y después murió.
126,Génesis,5,21,"21 Cuando Enoc tenía sesenta y cinco años, fue padre de Matusalén."
127,Génesis,5,22,"22 Después del nacimiento de Matusalén, Enoc vivió en íntima comunión con Dios trescientos años más y tuvo otros hijos e hijas."
128,Génesis,5,23,23 Enoc vivió trescientos sesenta y cinco años
129,Génesis,5,24,"24 andando en íntima comunión con Dios. Y un día desapareció, porque Dios se lo llevó."
130,Génesis,5,25,"25 Cuando Matusalén tenía ciento ochenta y siete años, fue padre de Lamec."
131,Génesis,5,26,"26 Después del nacimiento de Lamec, Matusalén vivió setecientos ochenta y dos años más y tuvo otros hijos e hijas."
132,Génesis,5,27,27 Matusalén vivió novecientos sesenta y nueve años y después murió.
133,Génesis,5,28,"28 Cuando Lamec tenía ciento ochenta y dos años, fue padre de un hijo varón."
134,Génesis,5,29,"29 Lamec le puso por nombre a su hijo Noé, porque dijo: «Que él nos traiga alivio de nuestro trabajo y de la penosa labor de cultivar esta tierra que el Señor ha maldecido»."
135,Génesis,5,30,"30 Después del nacimiento de Noé, Lamec vivió quinientos noventa y cinco años más y tuvo otros hijos e hijas."
136,Génesis,5,31,31 Lamec vivió setecientos setenta y siete años y después murió.
137,Génesis,5,32,"32 Cuando Noé tenía quinientos años, fue padre de Sem, Cam y Jafet."
138,Génesis,6,1,"1 Un mundo descarriado Luego los seres humanos comenzaron a multiplicarse sobre la tierra, y les nacieron hijas."
139,Génesis,6,2,2 Los hijos de Dios vieron a las hermosas mujeres y tomaron como esposas a todas las que quisieron.
140,Génesis,6,3,"3 Entonces el Señor dijo: «Mi Espíritu no tolerará a los humanos durante mucho tiempo, porque solo son carne mortal. En el futuro, la duración de la vida no pasará de ciento veinte años»."
141,Génesis,6,4,"4 En esos días y durante algún tiempo después, vivían en la tierra gigantes nefilitas, pues siempre que los hijos de Dios tenían relaciones sexuales con las mujeres, ellas daban a luz hijos que luego se convirtieron en los héroes y en los famosos guerreros de la antigüedad."
142,Génesis,6,5,5 El Señor vio la magnitud de la maldad humana en la tierra y que todo lo que la gente pensaba o imaginaba era siempre y totalmente malo.
143,Génesis,6,6,6 Entonces el Señor lamentó haber creado al ser humano y haberlo puesto sobre la tierra. Se le partió el corazón.
144,Génesis,6,7,"7 Entonces el Señor dijo: «Borraré de la faz de la tierra a esta raza humana que he creado. Así es, y destruiré a todo ser viviente: a todos los seres humanos, a los animales grandes, a los animales pequeños que corren por el suelo y aun a las aves del cielo. Lamento haberlos creado»."
145,Génesis,6,8,8 Pero Noé encontró favor delante del Señor .
146,Génesis,6,9,"9 La historia de Noé Este es el relato de Noé y su familia. Noé era un hombre justo, la única persona intachable que vivía en la tierra en ese tiempo, y anduvo en íntima comunión con Dios."
147,Génesis,6,10,"10 Noé fue padre de tres hijos: Sem, Cam y Jafet."
148,Génesis,6,11,"11 Ahora bien, Dios vio que la tierra se había corrompido y estaba llena de violencia."
149,Génesis,6,12,"12 Dios observó toda la corrupción que había en el mundo, porque todos en la tierra eran corruptos."
150,Génesis,6,13,"13 Entonces Dios le dijo a Noé: «He decidido destruir a todas las criaturas vivientes, porque han llenado la tierra de violencia. Así es, ¡los borraré a todos y también destruiré la tierra!"
151,Génesis,6,14,14 »Construye una gran barca de madera de ciprés y recúbrela con brea por dentro y por fuera para que no le entre agua. Luego construye pisos y establos por todo su interior.
152,Génesis,6,15,"15 Haz la barca de ciento treinta y ocho metros de longitud, veintitrés metros de anchura y catorce metros de altura."
153,Génesis,6,16,"16 Deja una abertura de cuarenta y seis centímetros por debajo del techo, alrededor de toda la barca. Pon la puerta en uno de los costados y construye tres pisos dentro de la barca: inferior, medio y superior."
154,Génesis,6,17,"17 »¡Mira! Estoy a punto de cubrir la tierra con un diluvio que destruirá a todo ser vivo que respira. Todo lo que hay en la tierra morirá,"
155,Génesis,6,18,"18 pero confirmaré mi pacto contigo. Así que entren en la barca tú y tu mujer, y tus hijos y sus esposas."
156,Génesis,6,19,19 Mete en la barca junto contigo a una pareja —macho y hembra— de cada especie animal a fin de mantenerlos vivos durante el diluvio.
157,Génesis,6,20,"20 Una pareja de cada especie de ave, de animal, y de animal pequeño que corre por el suelo vendrá a ti para mantenerse con vida."
158,Génesis,6,21,21 Y asegúrate de llevar a bordo suficiente alimento para tu familia y para todos los animales».
159,Génesis,6,22,22 Entonces Noé hizo todo exactamente como Dios se lo había ordenado.
160,Génesis,7,1,"1 El diluvio cubre la tierra Cuando todo estuvo preparado, el Señor le dijo a Noé: «Entra en la barca con toda tu familia, porque puedo ver que, entre todas las personas de la tierra, solo tú eres justo."
161,Génesis,7,2,"2 Toma contigo siete parejas —macho y hembra— de cada animal que yo he aprobado para comer y para el sacrificio, y toma una pareja de cada uno de los demás."
162,Génesis,7,3,3 Toma también siete parejas de cada especie de ave. Tiene que haber un macho y una hembra en cada pareja para asegurar que sobrevivan todas las especies en la tierra después del diluvio.
163,Génesis,7,4,"4 Dentro de siete días, haré que descienda la lluvia sobre la tierra; y lloverá durante cuarenta días y cuarenta noches, hasta que yo haya borrado de la tierra a todos los seres vivos que he creado»."
164,Génesis,7,5,5 Así que Noé hizo todo tal como el Señor le había ordenado.
165,Génesis,7,6,6 Noé tenía seiscientos años cuando el diluvio cubrió la tierra.
166,Génesis,7,7,"7 Subió a bordo de la barca para escapar del diluvio junto con su esposa, sus hijos y las esposas de ellos."
167,Génesis,7,8,"8 Con ellos estaban todas las diferentes especies de animales —los aprobados para comer y para el sacrificio, y los no aprobados— junto con todas las aves y los animales pequeños que corren por el suelo."
168,Génesis,7,9,9 Entraron en la barca por parejas —macho y hembra— tal como Dios había ordenado a Noé.
169,Génesis,7,10,"10 Después de siete días, las aguas del diluvio descendieron y cubrieron la tierra."
170,Génesis,7,11,"11 Cuando Noé tenía seiscientos años, el día diecisiete del segundo mes, todas las aguas subterráneas entraron en erupción, y la lluvia cayó en grandes torrentes desde el cielo."
171,Génesis,7,12,12 La lluvia continuó cayendo durante cuarenta días y cuarenta noches.
172,Génesis,7,13,"13 Ese mismo día Noé había entrado en la barca con su esposa y sus hijos —Sem, Cam y Jafet— y las esposas de ellos."
173,Génesis,7,14,"14 Con ellos en la barca había parejas de cada especie animal —domésticos y salvajes, grandes y pequeños— junto con aves de cada especie."
174,Génesis,7,15,"15 De dos en dos entraron en la barca, en representación de todo ser vivo que respira."
175,Génesis,7,16,"16 Entraron un macho y una hembra de cada especie, tal como Dios había ordenado a Noé. Luego el Señor cerró la puerta detrás de ellos."
176,Génesis,7,17,"17 Durante cuarenta días, las aguas del diluvio crecieron hasta que cubrieron la tierra y elevaron la barca por encima de la tierra."
177,Génesis,7,18,"18 Mientras el nivel del agua subía más y más por encima del suelo, la barca flotaba a salvo sobre la superficie."
178,Génesis,7,19,"19 Finalmente, el agua cubrió hasta las montañas más altas de la tierra"
179,Génesis,7,20,20 elevándose casi siete metros por encima de las cumbres más altas.
180,Génesis,7,21,"21 Murieron todos los seres vivos que había sobre la tierra: las aves, los animales domésticos, los animales salvajes, los animales pequeños que corren por el suelo y todas las personas."
181,Génesis,7,22,22 Todo lo que respiraba y vivía sobre tierra firme murió.
182,Génesis,7,23,"23 Dios borró de la tierra a todo ser vivo: las personas, los animales, los animales pequeños que corren por el suelo y las aves del cielo. Todos fueron destruidos. Las únicas personas que sobrevivieron fueron Noé y los que estaban con él en la barca."
183,Génesis,7,24,24 Y las aguas del diluvio cubrieron la tierra durante ciento cincuenta días.
184,Génesis,8,1,"1 La inundación se retira Entonces Dios se acordó de Noé y de todos los animales salvajes y domésticos que estaban con él en la barca. Envió un viento que soplara sobre la tierra, y las aguas del diluvio comenzaron a retirarse."
185,Génesis,8,2,2 Las aguas subterráneas dejaron de fluir y se detuvieron las lluvias torrenciales que caían del cielo.
186,Génesis,8,3,"3 Entonces las aguas del diluvio se retiraron de la tierra en forma gradual. Después de ciento cincuenta días,"
187,Génesis,8,4,"4 exactamente cinco meses después de que comenzó el diluvio, la barca se detuvo sobre las montañas de Ararat."
188,Génesis,8,5,"5 Dos meses y medio más tarde, mientras las aguas seguían bajando, otras cumbres se hicieron visibles."
189,Génesis,8,6,"6 Pasados otros cuarenta días, Noé abrió la ventana que había hecho en la barca"
190,Génesis,8,7,7 y soltó un cuervo. El pájaro voló ida y vuelta hasta que las aguas del diluvio terminaron de secarse sobre la tierra.
191,Génesis,8,8,8 También soltó una paloma para ver si el agua se había retirado y si la paloma podía encontrar suelo seco;
192,Génesis,8,9,"9 pero la paloma no pudo encontrar ningún lugar donde posarse, porque el agua aún cubría la tierra. Así que volvió a la barca, y Noé extendió su mano y metió la paloma adentro."
193,Génesis,8,10,"10 Después de esperar otros siete días, Noé volvió a soltar la paloma;"
194,Génesis,8,11,11 esta vez la paloma regresó a él por la tarde con una hoja de olivo fresca en su pico. Entonces Noé supo que las aguas del diluvio se habían retirado casi por completo.
195,Génesis,8,12,12 Esperó otros siete días y volvió a soltar la paloma. Esta vez el ave no regresó.
196,Génesis,8,13,"13 Ahora Noé tenía seiscientos un años de edad. El primer día del nuevo año, diez meses y medio después del comienzo del diluvio, las aguas del diluvio se habían secado de la tierra casi por completo. Noé levantó la cubierta de la barca y vio que la superficie de la tierra se estaba secando."
197,Génesis,8,14,"14 Pasaron otros dos meses, ¡y por fin la tierra quedó seca!"
198,Génesis,8,15,15 Entonces Dios le dijo a Noé:
199,Génesis,8,16,"16 «Todos ustedes —tú y tu esposa, y tus hijos y sus esposas— salgan de la barca."
200,Génesis,8,17,"17 Suelta a todos los animales —las aves, los animales y los animales pequeños que corren por el suelo— para que puedan ser fructíferos y se multipliquen por toda la tierra»."
201,Génesis,8,18,"18 Entonces Noé, su esposa, sus hijos y las esposas de sus hijos salieron de la barca;"
202,Génesis,8,19,"19 y todos los animales, grandes y pequeños, y las aves salieron de la barca, pareja por pareja."
203,Génesis,8,20,20 Luego Noé construyó un altar al Señor y allí sacrificó como ofrendas quemadas los animales y las aves que habían sido aprobados para ese propósito.
204,Génesis,8,21,"21 Al Señor le agradó el aroma del sacrificio y se dijo a sí mismo: «Nunca más volveré a maldecir la tierra por causa de los seres humanos, aun cuando todo lo que ellos piensen o imaginen se incline al mal desde su niñez. Nunca más volveré a destruir a todos los seres vivos."
205,Génesis,8,22,"22 Mientras la tierra permanezca, habrá cultivos y cosechas, frío y calor, verano e invierno, día y noche»."
206,Génesis,9,1,"1 Dios confirma su pacto Después Dios bendijo a Noé y a sus hijos, y les dijo: «Sean fructíferos y multiplíquense; llenen la tierra."
207,Génesis,9,2,"2 Todos los animales de la tierra, todas las aves del cielo, todos los animales pequeños que corren por el suelo y todos los peces del mar tendrán temor y terror de ustedes. Yo los he puesto bajo su autoridad."
